team,division,district,nickname,color1,color2,color3,color4,score
Grand Rapids West Catholic,3,80,Falcons,Green , White,,,100
Lakeview,3,80,Wildcats,Navy , Vegas Gold,,,100
Saranac,3,80,Redskins,Red , White,,,100
Bridgman,3,81,Bees,Orange , Navy,,,100
Buchanan,3,81,Bucks,Maroon , White,,,100
Cassopolis,3,81,Rangers,Blue , White,,,100
Lawton,3,81,Blue Devils,Royal Blue , Gold,,,100
Niles Brandywine,3,81,Bobcats,Maroon , Gold,,,100
Bronson,3,82,Vikings,Purple , Gold,,,100
Centreville,3,82,Bulldogs,Blue , Gold,,,100
Constantine,3,82,Falcons,Red,White,,,100
Schoolcraft,3,82,Eagles,Purple , Gold,,,100
Hanover-Horton,3,83,Comets,Red , White,,,100
Hillsdale,3,83,Hornets,Maize , Blue,,,100
Homer,3,83,Trojans,Orange , Black,,,100
Jonesville,3,83,Comets,Orange , Black,,,100
Quincy,3,83,Orioles,Black , Orange,,,100
Brooklyn Columbia Central,3,84,Golden Eagles,Blue , Gold,,,100
Jackson Lumen Christi,3,84,Titans,Forest Green , Gold,,,100
Napoleon,3,84,Pirates,Green , White,,,100
Dansville,3,85,Aggies,Black,White,Gold,,100
Grass Lake,3,85,Warriors,Navy , White,,,100
Leslie,3,85,Blackhawks,Orange , Black,,,100
Stockbridge,3,85,Panthers,Orange , Black,,,100
Adrian Madison,3,86,Trojans,Blue , Gold,,,100
Clinton,3,86,Redskins,Red , Black,,,100
Hudson,3,86,Tigers,Orange , Black,,,100
Manchester,3,86,Flying Dutchmen,Maroon , Gold,,,100
Onsted,3,86,Wildcats,Purple , Gold,,,100
Blissfield,3,87,Royals,Purple , Gold,,,100
Erie Mason,3,87,Eagles,Blue , Gold,,,100
Wakefield-Marenisco,4,97,Eagles,Blue , Gold,,,55
Ida,3,87,Bluestreaks,Royal Blue , Gold,,,100
Monroe St Mary Catholic Central,3,87,Falcons/Kestrels,Green , Gold,,,100
Ottawa Lake Whiteford,3,87,Bobcats,Blue , Gold,,,100
Ann Arbor Greenhills,3,88,Gryphons,Navy , Forest,,,100
Brighton Charyl Stockwell Prep,3,88,Sentinels,Burgundy , White,,,100
Canton Prep,3,88,Chargers,Gold,Silver,Black,,100
Dearborn Heights Robichaud,3,88,Bulldogs,Red,Black,White,,100
Taylor Prep,3,88,Tigers,Orange , Black,,,100
Detroit Communication Media Arts,3,89,Pharaohs,Purple,Black,White,,100
Detroit Jalen Rose Leadership Academy,3,89,Jaguars,Navy Blue , Gold,,,100
Detroit Loyola,3,89,Bulldogs,Blue , White,,,100
Detroit Cristo Rey,3,90,Wolves,Green , Vegas Gold,,,100
Ecorse,3,90,Red Raiders,Red , White,,,100
Hope of Detroit Academy,3,90,Warriors,Blue , Gold,,,100
Detroit Central,3,91,Trail Blazers,Navy Blue , White,,,100
Detroit Edison,3,91,Pioneers,Red,Black,White,,100
Detroit Osborn,3,91,Knights,Red,White,,,100
Detroit Pershing,3,91,Doughboys,Royal Blue , Gold,,,100
Clawson,3,92,Trojans,Blue , Gold,,,100
Clinton Township Clintondale,3,92,Dragons,Blue , Gold,,,100
Madison Heights Bishop Foley,3,92,Ventures,Black,Gold,White,,100
Madison Heights Madison,3,92,Eagles,Purple , Gold,,,100
Algonac,3,93,Muskrats,Blue , Gold,,,100
Almont,3,93,Raiders,Orange , Black,,,100
Memphis,3,93,Yellowjackets,Blue , Gold,,,100
New Haven,3,93,Rockets,Green , White,,,100
Burton Atherton,3,94,Wolverines,Black,White,Silver,,100
Burton Bendle,3,94,Tigers,Blue , Gold,,,100
Burton Bentley,3,94,Bulldogs,Red , White,,,100
Montrose,3,94,Rams,Red , Black,,,100
Mt Morris,3,94,Panthers,Navy , White,,,100
New Lothrop,3,94,Hornets,Black , White,,,100
Millington,3,95,Cardinals,Red , White,,,100
Otisville LakeVille Memorial,3,95,Falcons,Black , Gold,,,100
Reese,3,95,Rockets,Maroon , Gold,,,100
Saginaw Valley Lutheran,3,95,Chargers,Blue , Gold,,,100
Westland Huron Valley Lutheran,4,128,Chargers,Blue , Gold,,,72
Bad Axe,3,96,Hatchets,Blue , Gold,,,100
Caro,3,96,Tigers,Purple , White,,,100
Cass City,3,96,Red Hawks,Maroon , White,,,100
Elkton-Pigeon-Bay Port Laker,3,96,Lakers,Green , White,,,100
Sandusky,3,96,Redskins,Red , Black,,,100
Ironwood,4,97,Red Devils,Red , White,,,100
Lake Linden-Hubbell,4,97,Lakes,Navy , Gold,,,100
L'Anse,4,97,Purple Hornets,Purple , White,,,100
Ontonagon,4,97,Gladiators,Maroon , White,,,100
Painesdale Jeffers,4,97,Jets,Green , White,,,100
