Division,Host / Field Name,Plot Note,Map Link MHSAA,District_#,District Host?,Regional Host?,Column8
Division,Host,,Location,District,District Host ,,
Division 1,Saline High School - Baseball -,y,http://maps.google.com/maps?q=Saline+High+School+-+Baseball+1300+Campus+Parkway++Saline%2c+MI+,,,y,need
Division 1,Novi High School (Baseball Diamond) -,y,http://maps.google.com/maps?q=Novi+High+School+24062+Taft+Rd++Novi%2c+MI+48375,,,y,
Division 1,Novi High School - Baseball -,y,http://maps.google.com/maps?q=Novi+High+School+-+Baseball+24062+Taft+Road++Novi%2c+MI+,,,y,
Division 1,Grandville High School - Baseball -,y,http://maps.google.com/maps?q=Grandville+High+School+-+Baseball+4700+Canal+SW++Grandville%2c+MI+,,,y,
Division 1,H H Dow High School - Baseball - Midland  -,y,http://maps.google.com/maps?q=H+H+Dow+High+School+-+Baseball+3901+N.+Saginaw+Rd.++Midland+%2c+MI+,,,y,
Division 1,Portage Northern HS - Baseball -,y,http://maps.google.com/maps?q=Portage+Northern+HS+-+Baseball+1000+Idaho+Street++Portage%2c+MI+,,,y,
Division 1,Mona Shores Baseball Field (Baseball Field) - Muskegon -,y,http://maps.google.com/maps?q=Mona+Shores+Baseball+Field+1121+W.+Seminole+Rd.++Muskegon%2c+MI+,,,y,
Division 1,CMU - Mt Pleasant -,y,http://maps.google.com/maps?q=CMU+West+Campus+Drive++Mt+Pleasant%2c+MI+48859,,,y,x
Division 2,Berrien Springs High School - Baseball - berrien springs -,y,http://maps.google.com/maps?q=Berrien+Springs+High+School+-+Baseball+one+sylvester+ave++berrien+springs%2c+MI+,,,y,
Division 2,Thornapple Kellogg High School - Baseball - Middleville -,y,http://maps.google.com/maps?q=Thornapple+Kellogg+High+School+-+Baseball+3885+Bender++Middleville%2c+MI+,,,y,
Division 2,lakewood high school lake odessa - Baseball -,y,http://maps.google.com/maps?q=lakewood+high+school+lake+odessa+-+Baseball+7223+velte+rd++lake+odessa%2c+MI+,,,y,
Division 2,Hamilton HS -,y,http://maps.google.com/maps?q=Hamilton+HS+4911+136th+Ave++Hamilton%2c+MI+49419,,,y,x
Division 2,Kalamazoo College -,y,http://maps.google.com/maps?q=Kalamazoo+College+1015+Academy+St++Kalamazoo%2c+MI+49006,,,y,x
Division 2,Gehringer Field - Baseball - Fowlerville -,y,http://maps.google.com/maps?q=Gehringer+Field+-+Baseball+7677+Sharp+Road++Fowlerville%2c+MI+,,,y,
Division 2,Richmond Baseball Facility -,y,http://maps.google.com/maps?q=Richmond+Baseball+Facility+35320+Division++Richmond+%2c+MI+,,,y,y
Division 2,Conlee Field - Clio -,y,http://maps.google.com/maps?q=Conlee+Field+1+Mustang+Drive++Clio%2c+MI+,,,y,
Division 2,Goodrich High School - Baseball -,y,http://maps.google.com/maps?q=Goodrich+High+School+-+Baseball+8029+S.+Gale++Goodrich%2c+MI+,,,y,
Division 2,SVSU (Baseball Diamond) - Saginaw -,y,http://maps.google.com/maps?q=SVSU+7300+Davis+Rd++Saginaw%2c+MI+48604,,,y,x
Division 2,Clarenceville High School - Livonia (Baseball Field Behind HS) -,y,http://maps.google.com/maps?q=Clarenceville+High+School+-+Livonia+20155+Middlebelt+Rd.++Livonia%2c+MI+48152-2092,,,y,
Division 2,Mason -,y,http://maps.google.com/maps?q=Mason+1001+S+Barnes+St++Mason%2c+MI+48854,,,y,
Division 2,"University Liggett School - Baseball - Grosse Pointe Woods, MI 48236 -",y,http://maps.google.com/maps?q=University+Liggett+School+-+Baseball+1045+Cook+Rd++Grosse+Pointe+Woods%2c+MI+48236%2c+MI+,,,y,
Division 2,Trenton Baseball Stadium -,y,http://maps.google.com/maps?q=Trenton+Baseball+Stadium+2601+Charlton++Trenton%2c+MI+,,,y,
Division 2,U of M - Ann Arbor -,y,http://maps.google.com/maps?q=U+of+M+1114+S.+State+St++Ann+Arbor%2c+MI+48104,,,y,
Division 2,University of Michigan (Ray Fisher Stadium) - Ann Arbor -,y,http://maps.google.com/maps?q=University+of+Michigan+1201+South+Main+Street++Ann+Arbor%2c+MI+48104,,,y,
Division 2,Newaygo Baseball Field  -,y,http://maps.google.com/maps?q=Newaygo+Baseball+Field++850+E+76th+St++Newaygo+%2c+MI+,,,y,
Division 2,Gaylord Varsity Baseball Field -,y,http://maps.google.com/maps?q=Gaylord+Varsity+Baseball+Field+90+Livingston+Blvd++Gaylord%2c+MI+49735,,,y,
Division 2,Belding High School (Baseball Field) -,y,http://maps.google.com/maps?q=Belding+High+School+850+Hall+St++Belding%2c+MI+0,,,y,
Division 2,Kingsley Athletic Complex -,y,http://maps.google.com/maps?q=Kingsley+Athletic+Complex+S.+Clark+St++Kingsley%2c+MI+,,,y,
Division 2,Petoskey High School (Baseball Diamond 1) -,y,http://maps.google.com/maps?q=Petoskey+High+School+1500+Hill+St++Petoskey%2c+MI+49770,,,y,x
Division 2,Turcott Field - Petoskey -,y,http://maps.google.com/maps?q=Turcott+Field+1004+Charlevoix+Ave.++Petoskey%2c+MI+49770,,,y,x
Division 3,Algonac High School (Baseball Diamond) -,y,http://maps.google.com/maps?q=Algonac+High+School+5200+Taft+Rd++Algonac%2c+MI+48001-4701,,,y,
Division 3,Ecorse High School (Baseball Diamond) -,y,http://maps.google.com/maps?q=Ecorse+High+School+27225+W+Outer+Drive++Ecorse%2c+MI+48229,,,y,
Division 3,Vassar High School - Baseball -,y,http://maps.google.com/maps?q=Vassar+High+School+-+Baseball+220+Athletic+Street++Vassar%2c+MI+,,,y,
Division 3,Bishop Foley - Baseball - Madison Heights -,y,http://maps.google.com/maps?q=Bishop+Foley+-+Baseball+32000+Campbell++Madison+Heights%2c+MI+,,,y,
Division 4,Colon MS/HS Athletic COmplex (Colon Athletic Complex) -,y,http://maps.google.com/maps?q=Colon+MS%2fHS+Athletic+COmplex+400+Dallas+St.++Colon%2c+MI+,,,y,
Division 4,Lawrence Fields - St Joe HS,y,http://maps.google.com/maps?q=Lawrence+Fields+650+W.+St.+Joseph+St.++Lawrence%2c+MI+,,,y,st joe hs
Division 4,Morenci -,y,http://maps.google.com/maps?q=Morenci+788+Coomer++Morenci%2c+MI+49256,,,y,
Division 4,Mendon High School (John Schwartz Field) -,y,http://maps.google.com/maps?q=Mendon+High+School+148+Kirby+Road++Mendon%2c+MI+,,,y,
Division 4,Jackson Lumen Christi -,y,http://maps.google.com/maps?q=Jackson+Lumen+Christi+3483+Spring+Arbor+Rd++Jackson%2c+MI+49203,,,y,
Division 4,Lumen Christi Catholic High School - Baseball - Jackson -,y,http://maps.google.com/maps?q=Lumen+Christi+Catholic+High+School+-+Baseball+3433+Spring+Arbor+Road++Jackson%2c+MI+,,,y,
Division 4,Beal City High School - Baseball - Mt. Pleasant-Beal City -,y,http://maps.google.com/maps?q=Beal+City+High+School+-+Baseball+++Mt.+Pleasant-Beal+City%2c+MI+,,,y,
Division 4,Lockhart Field - Frankfort -,y,http://maps.google.com/maps?q=Lockhart+Field+534+11th+Street++Frankfort%2c+MI+,,,y,
Division 4,Fowler High School -,y,http://maps.google.com/maps?q=Fowler+High+School+700+S+Main++Fowler%2c+MI+48835,,,y,
Division 4,Muskegon Western Michigan Christian HS - Warrior Field - Norton Shores - ,y,http://maps.google.com/maps?q=Warrior+Field+455+E+Ellis+Rd++Norton+Shores%2c+MI+49442,,,y,Muskegon Western Michigan Christian HS
Division 4,Holton High School (Baseball Diamond) -,y,http://maps.google.com/maps?q=Holton+High+School+6477+Syers+Rd++Holton%2c+MI+49425,,,y,
Division 4,Holton High sChool - Baseball -,y,http://maps.google.com/maps?q=Holton+High+sChool+-+Baseball+6477+syers+rd++Holton%2c+MI+,,,y,
Division 4,Gaylord St Mary -,y,http://maps.google.com/maps?q=Gaylord+St+Mary+321+N+Otsego+Ave++Gaylord%2c+MI+49735,,,y,need
Division 4,Norway -,y,http://maps.google.com/maps?q=Norway+300+Section+St++Norway%2c+MI+49870,,,y,x
Division 4,harbor springs hs,y,http://maps.google.com/maps?q=Hillman+H.S.+-+Baseball+++Hillman%2c+MI+,,,y,
Division 4,Kosequat Field -,y,http://maps.google.com/maps?q=Kosequat+Field+++%2c+MI+,,,y,
