Division,District Host?,Regional Host?,district number,Host / Field Name,Plot Note,Map Link MHSAA,District_#,SF-FNL-HOST
Division 2,,y,,"University Liggett School - Baseball - Grosse Pointe Woods, MI 48236 -",y,http://maps.google.com/maps?q=University+Liggett+School+-+Baseball+1045+Cook+Rd++Grosse+Pointe+Woods%2c+MI+48236%2c+MI+,,
Division 2,,y,,Trenton Baseball Stadium -,y,http://maps.google.com/maps?q=Trenton+Baseball+Stadium+2601+Charlton++Trenton%2c+MI+,,
Division 2,,y,,U of M - Ann Arbor -,y,http://maps.google.com/maps?q=U+of+M+1114+S.+State+St++Ann+Arbor%2c+MI+48104,,
Division 2,,y,,University of Michigan (Ray Fisher Stadium) - Ann Arbor -,y,http://maps.google.com/maps?q=University+of+Michigan+1201+South+Main+Street++Ann+Arbor%2c+MI+48104,,
Division 2,,y,,Newaygo Baseball Field  -,y,http://maps.google.com/maps?q=Newaygo+Baseball+Field++850+E+76th+St++Newaygo+%2c+MI+,,
Division 2,,y,,Gaylord Varsity Baseball Field -,y,http://maps.google.com/maps?q=Gaylord+Varsity+Baseball+Field+90+Livingston+Blvd++Gaylord%2c+MI+49735,,
Division 2,,y,,Belding High School (Baseball Field) -,y,http://maps.google.com/maps?q=Belding+High+School+850+Hall+St++Belding%2c+MI+0,,
Division 2,,y,,Kingsley Athletic Complex -,y,http://maps.google.com/maps?q=Kingsley+Athletic+Complex+S.+Clark+St++Kingsley%2c+MI+,,
Division 2,,y,,Petoskey High School (Baseball Diamond 1) -,y,http://maps.google.com/maps?q=Petoskey+High+School+1500+Hill+St++Petoskey%2c+MI+49770,,
Division 2,,y,,Turcott Field - Petoskey -,y,http://maps.google.com/maps?q=Turcott+Field+1004+Charlevoix+Ave.++Petoskey%2c+MI+49770,,
Division 3,,y,,Algonac High School (Baseball Diamond) -,y,http://maps.google.com/maps?q=Algonac+High+School+5200+Taft+Rd++Algonac%2c+MI+48001-4701,,
Division 3,,y,,Ecorse High School (Baseball Diamond) -,y,http://maps.google.com/maps?q=Ecorse+High+School+27225+W+Outer+Drive++Ecorse%2c+MI+48229,,
Division 3,,y,,Vassar High School - Baseball -,y,http://maps.google.com/maps?q=Vassar+High+School+-+Baseball+220+Athletic+Street++Vassar%2c+MI+,,
Division 3,,y,,Bishop Foley - Baseball - Madison Heights -,y,http://maps.google.com/maps?q=Bishop+Foley+-+Baseball+32000+Campbell++Madison+Heights%2c+MI+,,
Division 4,,y,,Colon MS/HS Athletic COmplex (Colon Athletic Complex) -,y,http://maps.google.com/maps?q=Colon+MS%2fHS+Athletic+COmplex+400+Dallas+St.++Colon%2c+MI+,,
Division 4,,y,,Lawrence Fields - St Joe HS,y,http://maps.google.com/maps?q=Lawrence+Fields+650+W.+St.+Joseph+St.++Lawrence%2c+MI+,,
Division 4,,y,,Morenci -,y,http://maps.google.com/maps?q=Morenci+788+Coomer++Morenci%2c+MI+49256,,
Division 4,,y,,Mendon High School (John Schwartz Field) -,y,http://maps.google.com/maps?q=Mendon+High+School+148+Kirby+Road++Mendon%2c+MI+,,
Division 4,,y,,Jackson Lumen Christi -,y,http://maps.google.com/maps?q=Jackson+Lumen+Christi+3483+Spring+Arbor+Rd++Jackson%2c+MI+49203,,
Division 4,,y,,Lumen Christi Catholic High School - Baseball - Jackson -,y,http://maps.google.com/maps?q=Lumen+Christi+Catholic+High+School+-+Baseball+3433+Spring+Arbor+Road++Jackson%2c+MI+,,
Division 4,,y,,Beal City High School - Baseball - Mt. Pleasant-Beal City -,y,http://maps.google.com/maps?q=Beal+City+High+School+-+Baseball+++Mt.+Pleasant-Beal+City%2c+MI+,,
Division 4,,y,,Lockhart Field - Frankfort -,y,http://maps.google.com/maps?q=Lockhart+Field+534+11th+Street++Frankfort%2c+MI+,,
Division 4,,y,,Fowler High School -,y,http://maps.google.com/maps?q=Fowler+High+School+700+S+Main++Fowler%2c+MI+48835,,
Division 4,,y,,Muskegon Western Michigan Christian HS - Warrior Field - Norton Shores - ,y,http://maps.google.com/maps?q=Warrior+Field+455+E+Ellis+Rd++Norton+Shores%2c+MI+49442,,
Division 4,,y,,Holton High School (Baseball Diamond) -,y,http://maps.google.com/maps?q=Holton+High+School+6477+Syers+Rd++Holton%2c+MI+49425,,
Division 4,,y,,Holton High sChool - Baseball -,y,http://maps.google.com/maps?q=Holton+High+sChool+-+Baseball+6477+syers+rd++Holton%2c+MI+,,
Division 4,,y,,Gaylord St Mary -,y,http://maps.google.com/maps?q=Gaylord+St+Mary+321+N+Otsego+Ave++Gaylord%2c+MI+49735,,
