school_id,school_name,students,enrollment,division
2591,Kalamazoo Christian HS,239,239,C
3846,Carson City-Crystal HS,236,236,C
4720,Kalamazoo - Hackett Catholic Prep,235,235,C
6997,East Jackson HS,234,234,C
4225,Unionville Sebewaing HS,234,234,C
1120,Arts & Technology Acad of Pontiac,232,232,C
2079,Wyoming - The Potter's House Christian HS,232,232,C
7145,Iron River - West Iron County HS,232,232,C
4695,Mt Morris - Beecher HS,231,231,C
1478,Whittemore-Prescott HS,230,230,C
7054,Marlette HS,229,229,C
6304,Lincoln - Alcona HS,228,228,C
5124,Mt Pleasant - Beal City HS,227,227,C
3458,Rochester Hills - Lutheran Northwest HS,227,227,C
7715,Reading HS,225,225,C
6353,Concord HS,224,224,C
3185,Whitmore Lake HS,224,224,C
1083,St Helen - Charlton Heston Academy,222,222,C
2009,Detroit - Universal Academy,222,222,C
5652,Bark River-Harris HS,221,221,C
2393,Mt Clemens HS,220,220,C
9721,Kimball - Landmark Academy,218,218,C
4588,Blanchard - Montabella HS,218,218,C
1161,Detroit - Academy of the Americas,216,216,C
3631,Johannesburg-Lewiston HS,216,216,C
6361,Ishpeming HS,213,213,C
2930,Capac HS,211,211,C
2360,St Ignace HS,210,210,C
5900,White Pigeon HS,210,210,C
5677,Genesee HS,208,208,C
6287,Harbor Beach HS,208,208,C
9948,Traverse City - Grand Traverse Academy,206,206,C
2311,Decatur HS,204,204,C
2204,Allen Park - Cabrini HS,203,203,C
3045,Kingston HS,203,203,C
7562,Burton - Madison Academy,203,203,C
2988,Merrill HS,203,203,C
3441,Hancock HS,199,199,C
2228,International Academy of Flint,198,198,C
6774,Painesdale - Jeffers HS,197,197,C
7153,Mesick HS,197,197,C
1131,Coleman HS,195,195,C
1065,Warren - Michigan Math & Science Academy,195,195,C
7178,Morenci Area HS,195,195,C
7995,Breckenridge HS,194,194,C
5264,L'Anse HS,193,193,C
8481,Saginaw - Nouvel Catholic Central HS,193,193,C
2105,Gobles HS,192,192,C
8698,Adrian - Lenawee Christian HS,192,192,C
8623,Lutheran HS Westland,192,192,C
1577,Rogers City HS,192,192,C
5446,Marcellus HS,191,191,C
1230,Saginaw Arts & Sciences Academy,191,191,C
1090,Westland - Universal Learning Academy,191,191,C
2906,Lawrence HS,189,189,C
1965,Eau Claire HS,188,188,D
7442,Mayville HS,187,187,D
6873,Munising HS,183,183,D
2286,New Buffalo HS,182,182,D
5751,Ironwood - Luther L Wright HS,181,181,D
2625,Norway HS,180,180,D
6163,Bellevue HS,179,179,D
5066,Martin HS,179,179,D
3061,Saginaw - Michigan Lutheran Seminary,179,179,D
2121,Petersburg - Summerfield HS,179,179,D
6015,Fowler HS,178,178,D
8358,Canton - Plymouth Christian Academy,178,178,D
3557,Brethren HS,177,177,D
5768,Camden-Frontier HS,177,177,D
7913,Indian River - Inland Lakes HS,177,177,D
1659,Benton Harbor - Countryside Academy,174,174,D
3841,Detroit International Academy,87,174,D
3417,Deckerville Community HS,173,173,D
1092,Detroit Public Safety Academy,173,173,D
1056,Muskegon Heights Academy,173,173,D
7005,Vestaburg HS,173,173,D
1134,Jackson Prep & Early College HS,172,172,D
6700,Newberry HS,171,171,D
2162,Three Oaks - River Valley HS,171,171,D
5512,Fife Lake - Forest Area HS,170,170,D
1098,Birmingham - Roeper HS,170,170,D
1395,Ubly HS,170,170,D
5891,Rudyard HS,169,169,D
3615,Stephenson HS,169,169,D
2088,Webberville Community HS,168,168,D
1899,Melvindale - Academy for Business & Tech,166,166,D
2405,Taylor - Trillium Academy,166,166,D
1858,Lansing Christian HS,165,165,D
1017,Britton Deerfield Schools,164,164,D
7260,Mendon HS,164,164,D
3094,Onaway Area HS,164,164,D
3532,Auburn Hills - Oakland Christian HS,163,163,D
7194,Morrice HS,161,161,D
3193,Bloomfield Hills - Academy Of The Sacred Heart,80,160,D
1239,Ann Arbor - Central Academy HS,158,158,D
1973,Pickford HS,157,157,D
3961,Marine City - Cardinal Mooney Catholic HS,156,156,D
7558,Frankfort HS,154,154,D
1552,Colon Community HS,153,153,D
6816,Brimley Area HS,151,151,D
4423,Climax-Scotts HS,151,151,D
1155,Inkster - American International Academy,149,149,D
7401,Middleton - Fulton HS,148,148,D
4877,Marion HS,148,148,D
2534,Dryden HS,147,147,D
1174,Flint - The New Standard Academy,146,146,D
4167,Mio-Au Sable HS,144,144,D
3004,Southfield Christian HS,143,143,D
9639,Detroit - Davis Aerospace Technical HS,141,141,D
9281,Detroit - Frederick Douglass HS,70,140,D
4455,West Bloomfield - Frankel Jewish Academy,138,138,D
9927,Pontiac Academy for Excellence,138,138,D
1319,New Haven - Merritt Academy HS,133,133,D
3672,Suttons Bay HS,132,132,D
8135,Buckley HS,131,131,D
2187,Leland HS,130,130,D
5941,Custer - Mason County Eastern HS,130,130,D
9955,Sterling Heights - Parkway Christian School,130,130,D
9764,Southfield - AGBU Alex & Marie Manoogian HS,129,129,D
3912,Baldwin Community Schools,129,129,D
7244,Bessemer - AD Johnston,128,128,D
5982,Athens HS,128,128,D
6270,Hillman HS,127,127,D
1544,Pittsford HS,127,127,D
5660,Pellston HS,126,126,D
1214,Crystal Falls - Forest Park HS,124,124,D
4448,Kinde - North Huron HS,123,123,D
6915,Baraga Area HS,122,122,D
5173,Lake Linden-Hubbell HS,122,122,D
4951,Rapid River HS,118,118,D
9826,Clarkston - Everest Collegiate HS,116,116,D
1445,Muskegon Catholic Central HS,116,116,D
9711,Kalamazoo - Phoenix HS,113,113,D
3400,Peck Community HS,111,111,D
4308,Au Gres - AuGres-Sims HS,109,109,D
1329,Big Rapids - Crossroads Charter Academy,108,108,D
1940,Powers - North Central HS,108,108,D
6493,Dollar Bay HS,106,106,D
9101,Burton - Genesee Christian HS,106,106,D
1800,St Joseph - Michigan Lutheran HS,106,106,D
5545,Wakefield-Marenisco HS,105,105,D
7533,Litchfield HS,104,104,D
4274,Mt Pleasant - Sacred Heart Academy HS,103,103,D
2724,Bellaire HS,101,101,D
