PopularName_Score,ProperName_Score,MHSAA_SchoolId,SchoolInfo_Index,Matched_School_Name
60,73,4534,86,bear lake high school
62,69,4535,384,edison
65,76,4536,430,frankenmuth high school
70,74,4537,403,fairview school
62,74,4538,96,belleville high school
45,64,4539,485,grant high school
51,62,4540,228,charlevoix middle high school
51,50,4541,341,detroit school of arts
68,64,4542,406,farmington high school
55,69,4543,200,casa
57,65,4544,1345,cornerstone christian school
76,83,4545,497,grosse pointe north high school
62,73,4546,705,learning center
54,83,4547,1039,riverside academy
67,71,4548,790,marshall academy
64,57,4549,518,harper woods high school
69,72,4550,91,beekman center
61,56,4551,1306,wyoming high school
50,50,4552,1151,taylor virtual learning academy
62,56,4553,694,lamphere center
52,64,4554,355,downriver digital academy
67,58,4555,476,grand rapids learning center
42,53,4556,1353,eton academy
74,82,4557,366,east grand rapids high school
84,86,4558,1463,west highland christian academy
65,76,4559,864,muskegon high school
62,74,4560,808,melvindale high school
75,82,4561,1102,southgate anderson high school
67,77,4562,135,breckenridge high school
54,69,4563,1020,ravenna high school
56,74,4564,1077,sault area career center
54,63,4565,1259,wayland high school
56,59,4566,1013,progress park
57,71,4567,1121,st louis high school
57,54,4568,9,ace
65,76,4569,577,hudsonville high school
63,61,4570,1349,detroit country day school
55,57,4571,521,harrison center
64,72,4572,954,owendalegagetown jrsr high school
63,68,4573,1306,wyoming high school
50,67,4574,39,alpena high school
48,57,4575,1131,stuckey center
57,78,4576,154,bullock creek high school
58,53,4577,403,fairview school
57,83,4578,158,burt township school
58,76,4579,1363,fr gabriel richard high school
57,71,4580,471,goodrich high school
81,85,4581,759,mackinac island school
60,73,4582,773,mancelona high school
65,68,4583,1411,muskegon catholic central
67,87,4584,1382,inter-city baptist school
100,100,4585,1427,plymouth christian academy
67,84,4586,890,north branch high school
60,56,4587,1362,fostoria baptist academy
62,85,4588,1368,grace christian school
61,75,4589,1064,saginaw high school
60,100,4590,87,beaver island community school
68,70,4591,322,dearborn heights virtual academy
80,100,4592,1145,swartz creek high school
83,86,4593,1408,midland christian school
65,83,4594,1319,auburn hills christian school
56,61,4595,1401,lutheran high school north
72,88,4596,1455,tri-unity christian school
69,100,4597,1413,new life christian academy
83,100,4598,1360,farber hebrew day school
62,71,4599,1448,state line christian school
70,73,4600,1183,turning point academy
71,86,4601,1396,lenawee christian school
64,86,4602,1365,freedom christian school
63,67,4603,1375,harbor light christian school
70,89,4604,515,harbor springs high school
65,89,4605,440,fruitport adult education
63,65,4606,1314,academy of the sacred heart
67,96,4607,1455,tri-unity christian school
59,65,4608,638,jonesville pathways
56,44,4609,531,hawthorn center
83,86,4610,1367,genesee christian school
72,100,4611,1379,howardsville christian school
67,67,4612,341,detroit school of arts
67,81,4613,275,communication and media arts high school
59,67,4614,341,detroit school of arts
100,100,4615,1420,novi christian academy
76,90,4616,1344,copper country christian school
50,77,4617,1224,voyageur college prep
63,77,4618,853,mount clemens center for lifelong learning
59,85,4619,1412,new covenant christian school
63,62,4620,341,detroit school of arts
62,72,4621,371,east lansing high school
58,60,4622,341,detroit school of arts
58,50,4623,341,detroit school of arts
59,57,4624,556,holland high school
68,72,4625,965,pathfinders alternative ed
79,79,4626,291,continuing education center
63,71,4627,1022,redford union high school
76,100,4628,1416,northern michigan christian school
59,49,4629,261,clinton high school
49,67,4630,762,macomb correctional facility
55,59,4631,1464,west michigan lutheran school
81,81,4632,568,horizon alternative school
57,78,4633,856,mt pleasant senior high school
65,89,4634,863,muskegon heights academy
64,86,4635,1345,cornerstone christian school
72,87,4636,314,da vinci institute 612
77,100,4637,960,pansophia academy
68,88,4638,660,kensington woods schools
62,60,4639,222,centreville jr sr high school
71,100,4640,1333,cadillac heritage christian school
72,80,4641,1269,west michigan aviation academy
53,76,4642,1048,rockford high school
61,67,4643,341,detroit school of arts
58,72,4644,340,detroit public safety academy
67,100,4645,1368,grace christian school
63,55,4646,1142,suttons bay virtual school
57,93,4647,1337,capitol city baptist school
87,100,4648,1454,traverse city christian school
75,75,4649,233,charlton heston academy
70,71,4650,1175,traverse city high school
56,70,4651,705,learning center
64,85,4652,1440,southfield christian school
54,76,4653,44,ann arbor learning community
57,73,4654,1464,west michigan lutheran school
44,71,4655,129,bozymowski center
75,89,4656,1412,new covenant christian school
80,96,4657,377,eastpointe virtual academy
