Round,Date,Time,Location,Team1,Record1,Team2,Record2,MoreInfo,District,Division
 Round 1, 5/30/2023, 3:00 PM, Mona Shores Baseball Field (Baseball Field) - Muskegon, Grand Haven ,12-9 , Muskegon Mona Shores ,13-6 ,/gameeventdetails/contestid/3960742/schoolid/4180/view/contest, 3 ,1
 SemiFin, 6/3/2023, 12:00 PM, Mona Shores Baseball Field (Baseball Field) - Muskegon,  , , Muskegon ,0-19 ,/gameeventdetails/contestid/3960744/schoolid/0/view/contest, 3 ,1
 SemiFin, 6/3/2023, 10:00 AM, Mona Shores Baseball Field (Baseball Field) - Muskegon, Grand Rapids Kenowa Hills ,11-6 , Muskegon Reeths-Puffer ,11-9 ,/gameeventdetails/contestid/3960743/schoolid/4302/view/contest, 3 ,1
 Round 1, 5/30/2023, 4:15 PM, FHN Stadium - Baseball - Grand Rapids, Grand Rapids Forest Hills Northern ,4-8 , Cedar Springs ,11-8 ,/gameeventdetails/contestid/3960746/schoolid/4463/view/contest, 4 ,1
 SemiFin, 6/3/2023, 9:30 AM, FHN Stadium - Baseball - Grand Rapids,  , , Greenville ,5-22 ,/gameeventdetails/contestid/3960748/schoolid/0/view/contest, 4 ,1
 SemiFin, 6/3/2023, 11:30 AM, FHN Stadium - Baseball - Grand Rapids, Grand Rapids Northview ,8-6 , Rockford ,14-4 ,/gameeventdetails/contestid/3960747/schoolid/4183/view/contest, 4 ,1
 SemiFin, 6/2/2023, 11:00 AM, Coopersville High School (Varsity Baseball Field), Coopersville ,16-7 , Sparta ,3-9-1 ,/gameeventdetails/contestid/3960870/schoolid/4044/view/contest,39 ,2
 SemiFin, 6/2/2023, 1:45 PM, Coopersville High School (Varsity Baseball Field), Allendale ,11-6 , Comstock Park ,7-11 ,/gameeventdetails/contestid/3960869/schoolid/4298/view/contest,39 ,2
 Round 1, 5/30/2023, 5:00 PM, Belding High School, Ionia ,9-7 , St Johns ,13-5 ,/gameeventdetails/contestid/3960872/schoolid/4176/view/contest,40 ,2
 SemiFin, 6/3/2023, 10:00 AM, Belding High School,  , , Portland ,7-4 ,/gameeventdetails/contestid/3960874/schoolid/0/view/contest,40 ,2
 SemiFin, 6/3/2023, 12:00 PM, Belding High School, Belding ,5-5 , Ada Forest Hills Eastern ,13-2 ,/gameeventdetails/contestid/3960873/schoolid/4265/view/contest,40 ,2
 Round 1, 5/30/2023, 5:00 PM, Kingsley Athletic Complex, Big Rapids ,21-3-1 , Gladwin ,18-3-1 ,/gameeventdetails/contestid/3960853/schoolid/3905/view/contest,35 ,2
 SemiFin, 6/3/2023, 10:00 AM, Kingsley Athletic Complex,  , , Ludington ,8-12 ,/gameeventdetails/contestid/3960855/schoolid/0/view/contest,35 ,2
