date,game_id,away_team_runs,home_team_runs,game_info
2023-04-25,401519562,6,13,
2023-04-25,401517505,8,7,
2023-04-25,401516574,9,2,
2023-04-25,401513325,5,7,
2023-04-25,401513183,1,11,
2023-04-25,401517490,4,8,
2023-04-25,401512990,4,5,
2023-04-25,401513278,9,12,
2023-04-25,401519638,9,7,
2023-04-25,401516753,3,6,
2023-04-25,401513234,5,15,
2023-04-25,401513048,2,18,
2023-04-25,401517627,2,1,
2023-04-25,401516990,3,18,
2023-04-26,401516783,4,13,
2023-04-26,401516684,3,11,
2023-04-26,401523852,8,3,
2023-04-27,401497340,5,7,
2023-04-27,401497345,7,8,
2023-04-28,401497325,6,8,
2023-04-28,401497328,1,11,
2023-04-28,401513237,1,3,
2023-04-28,401516685,17,5,
2023-04-28,401512939,0,11,
2023-04-28,401516754,5,15,
2023-04-28,401513091,3,2,
2023-04-28,401497329,3,7,
2023-04-28,401497327,8,3,
2023-04-28,401497330,4,6,
2023-04-28,401497326,4,10,
2023-04-28,401513235,9,7,
2023-04-28,401497331,8,12,
2023-04-28,401513049,0,7,
2023-04-28,401513137,6,14,
2023-04-28,401512991,4,7,
2023-04-29,401497332,8,12,
2023-04-29,401497334,9,5,
2023-04-29,401497337,3,9,
2023-04-29,401497333,7,8,
2023-04-29,401513236,6,3,
2023-04-29,401497338,2,13,
2023-04-29,401513138,3,5,
2023-04-29,401501346,8,4,
2023-04-29,401513185,5,18,
2023-04-29,401497335,7,11,
2023-04-29,401516686,2,10,
2023-04-29,401512940,10,7,
2023-04-29,401513092,2,12,
2023-04-29,401497336,7,3,
2023-04-29,401513051,12,8,
2023-04-29,401516755,11,22,
2023-04-29,401512992,3,12,
2023-04-29,401513050,13,7,
2023-04-30,401497339,11,13,
2023-04-30,401497341,7,8,
2023-04-30,401497344,2,3,
2023-04-30,401513139,5,10,
2023-04-30,401516756,8,13,
2023-04-30,401501350,3,2,
2023-04-30,401513186,0,15,
2023-04-30,401497342,7,8,
2023-04-30,401516687,7,3,
2023-04-30,401513093,8,12,
2023-04-30,401497343,7,8,
2023-05-01,401501342,7,15,
2023-05-02,401517569,10,0,
2023-05-02,401517679,5,11,
2023-05-02,401517663,3,13,
2023-05-02,401512994,5,6,
2023-05-02,401516575,5,6,
2023-05-02,401537571,7,5,
